"Info;;LIBOR 6M;;Vol Black;;;;Year;Month;Date;;;;;;;;;;;;;;;;;;;;;"
";;EUR;Mid;;EUR BVOL CUB;;;2008;4;2;;;;;;;;;;;;;;;;;;;;;"
"#######;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"LIBOR_DF;6 MO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"6 MO;7 MO;8 MO;9 MO;10 MO;11 MO;1 YR;13 MO;14 MO;15 MO;16 MO;17 MO;18 MO;2 YR;3 YR;4 YR;5 YR;6 YR;7 YR;8 YR;9 YR;10 YR;11 YR;12 YR;15 YR;20 YR;25 YR;30 YR;35 YR;40 YR;45 YR;50 YR;;"
"0.976236;0.972826;0.969309;0.965661;0.962272;0.959201;0.955583;0.952593;0.949329;0.946;0.943013;0.939856;0.93674;0.918455;0.882618;0.847803;0.813416;0.77936;0.745316;0.711963;0.678913;0.646614;0.61508;0.584359;0.500101;0.392424;0.312561;0.252353;0.20524;0.168504;0.135533;0.11525;;"
"#########;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"SwaptionVol;ATM;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Expiry;;1Yr;2Yr;3Yr;4Yr;5Yr;6Yr;7Yr;8Yr;9Yr;10Yr;12Yr;15Yr;20Yr;25Yr;30Yr;;;;;;;;;;;;;;;"
"1Mo;Vol;18.79;21.1;21.1;21.2;21.2;20.1;19;17.8;16.5;15.5;14.87;13.95;13.3;13.15;13;;;;;;;;;;;;;;;"
";Strike;4.56;4.3;4.23;4.2;4.21;4.24;4.28;4.32;4.38;4.43;4.53;4.64;4.7;4.69;4.67;;;;;;;;;;;;;;;"
"3Mo;Vol;18.31;20;20;20;19.9;19.1;18.2;17.1;16.1;15.2;14.79;14.2;13.35;13;12.6;;;;;;;;;;;;;;;"
";Strike;4.44;4.25;4.19;4.18;4.19;4.23;4.27;4.32;4.38;4.43;4.53;4.64;4.7;4.69;4.66;;;;;;;;;;;;;;;"
"6Mo;Vol;17.82;18.5;18.3;18.2;18.1;17.4;16.8;16;15.2;14.5;14.06;13.55;13;12.5;12.35;;;;;;;;;;;;;;;"
";Strike;4.23;4.15;4.13;4.14;4.16;4.21;4.26;4.32;4.37;4.43;4.53;4.65;4.7;4.69;4.66;;;;;;;;;;;;;;;"
"9Mo;Vol;17.67;17.72;17.47;17.36;17.16;16.61;16.11;15.4;14.75;14.15;13.72;13.2;12.68;12.35;12.18;;;;;;;;;;;;;;;"
";Strike;4.13;4.1;4.09;4.12;4.16;4.21;4.26;4.33;4.39;4.44;4.55;4.65;4.7;4.69;4.66;;;;;;;;;;;;;;;"
"1Yr;Vol;17.46;16.9;16.6;16.5;16.2;15.8;15.4;14.8;14.3;13.8;13.38;12.85;12.35;12.2;12;;;;;;;;;;;;;;;"
